"","X.4","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days","pop","GDP","PRIM","SEC","TERT","A60","BED","DOC","NRS","AREA","POPDEN","GDPPC","PRPER","SECPER","TERPEC"
"1",79,79,79,79,"2020-01-22",78,44,5,1.2,55,69,97,1021,0.1,10.5,3.9841,0,0,0,0,"Shanghai",0,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"2",80,80,80,80,"2020-01-23",56,32.5,4.5,0.95,45,67.5,97.5,1021,0.1,9.75,3.6416,0.002882865,7,2.07944154167984,0.00287871751387881,"Shanghai",1,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"3",81,81,81,81,"2020-01-24",52,39,4.66666666666667,0.866666666666667,38.3333333333333,77.3333333333333,97.3333333333333,1022.66666666667,0.366666666666667,9.5,3.2541,0.004530216,11,2.484906649788,0.00451998545757169,"Shanghai",2,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"4",82,82,82,82,"2020-01-25",30.6666666666667,29,4.33333333333333,0.633333333333333,27,77.3333333333333,96,1025.33333333333,0.366666666666667,8.83333333333333,2.5182,0.009884108,24,3.2188758248682,0.00983557971505268,"Shanghai",3,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"5",83,83,83,83,"2020-01-26",24.6666666666667,28.6666666666667,4.66666666666667,0.6,21.3333333333333,81,95.6666666666667,1026.66666666667,0.633333333333333,8.33333333333333,1.95763333333333,0.009884108,24,3.2188758248682,0.00983557971505268,"Shanghai",4,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"6",84,84,84,84,"2020-01-27",18,18.6666666666667,4.33333333333333,0.566666666666667,19.3333333333333,75,94.6666666666667,1024,0.633333333333333,7.83333333333333,1.6646,0.013590649,33,3.52636052461616,0.0134991244494822,"Shanghai",5,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"7",85,85,85,85,"2020-01-28",41,36,5,0.766666666666667,20.6666666666667,72.6666666666667,92.3333333333333,1021.33333333333,0.633333333333333,6.66666666666667,1.5946,0.013590649,33,3.52636052461616,0.0134991244494822,"Shanghai",6,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"8",86,86,86,86,"2020-01-29",58.3333333333333,47.6666666666667,6,0.866666666666667,22,81,85.6666666666667,1021,0.366666666666667,5.83333333333333,1.57336666666667,0.02306292,56,4.04305126783455,0.0228009904544555,"Shanghai",7,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"9",87,87,87,87,"2020-01-30",74,60,7.66666666666667,1.03333333333333,23,87.3333333333333,72,1022.33333333333,0.1,5.33333333333333,1.53346666666667,0.024298434,59,4.0943445622221,0.0240079236102132,"Shanghai",8,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"10",88,88,88,88,"2020-01-31",62.6666666666667,51.6666666666667,8.66666666666667,0.966666666666666,26,96.3333333333333,61.3333333333333,1023.33333333333,0.366666666666667,5,1.55036666666667,0.028416813,69,4.24849524204936,0.0280205449729639,"Shanghai",9,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"11",89,89,89,89,"2020-02-01",50,42,8.33333333333333,0.9,33.6666666666667,89.3333333333333,53.3333333333333,1024.33333333333,0.366666666666667,5.16666666666667,1.55716666666667,0.030064165,73,4.30406509320417,0.0296210964177268,"Shanghai",10,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"12",90,90,90,90,"2020-02-02",38.3333333333333,30.3333333333333,7.33333333333333,0.733333333333333,36.6666666666667,90.3333333333333,58.3333333333333,1026,0.366666666666667,5.66666666666667,1.56313333333333,0.028828651,70,4.26267987704132,0.0284209230636763,"Shanghai",11,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"13",91,91,91,91,"2020-02-03",42,31.3333333333333,6.33333333333333,0.7,38.3333333333333,95,65.3333333333333,1026.66666666667,0.1,7.5,1.63656666666667,0.028004975,68,4.23410650459726,0.0276200065154265,"Shanghai",12,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"14",92,92,92,92,"2020-02-04",38.3333333333333,29.6666666666667,5.66666666666667,0.633333333333333,33,98.3333333333333,71.6666666666667,1027,0.1,8.5,1.68866666666667,0.020591893,50,3.93182563272433,0.0203827462495382,"Shanghai",13,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"15",93,93,93,93,"2020-02-05",35.3333333333333,32,5.33333333333333,0.633333333333333,32.3333333333333,94.3333333333333,74,1027,0.1,8.66666666666667,1.75673333333333,0.02512211,61,4.12713438504509,0.0248117372020704,"Shanghai",14,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"16",94,94,94,94,"2020-02-06",21,24.3333333333333,4.66666666666667,0.533333333333333,24.3333333333333,86.3333333333333,72.3333333333333,1029,0.366666666666667,8.16666666666667,1.67656666666667,0.022239245,54,4.00733318523247,0.0219955592975116,"Shanghai",15,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"17",95,95,95,95,"2020-02-07",22.6666666666667,25.3333333333333,4.66666666666667,0.566666666666667,20.3333333333333,83,80,1029.33333333333,0.366666666666667,7.16666666666667,1.64223333333333,0.023886596,58,4.07753744390572,0.0236057743907647,"Shanghai",16,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"18",96,96,96,96,"2020-02-08",27.3333333333333,27.3333333333333,4.66666666666667,0.566666666666667,17.6666666666667,79.6666666666667,81.3333333333333,1030.33333333333,0.366666666666667,6.66666666666667,1.57773333333333,0.017709028,43,3.78418963391826,0.0175540501599924,"Shanghai",17,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
"19",97,97,97,97,"2020-02-09",47.6666666666667,42,5.33333333333333,0.7,23,85.6666666666667,84,1030.33333333333,0.366666666666667,6.16666666666667,1.5527,0.014826163,36,3.61091791264422,0.0147173298454197,"Shanghai",18,24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903
