"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"1","Shenyang",8322,93.6367583212735,4.10998552821997,31.5282199710564,57.9971056439942,23.2682528,8.643234799,3.815068493,4.589161259,12860,647.122861586314,11.2517133286798,4.38928643185015,33.6707726071434,61.9383954376149,5.603785714,3.761505,0.451995
"2","Dalian",7100,101.327062228654,6.63531114327062,40.5180897250362,54.1722141823444,22.8509855,6.648,3.139,3.698,13244,536.091815161583,14.2714172153034,6.54840967193682,39.9874316237485,53.4627304797406,5.601578571,0.95776,0.134896
"3","Chaoyang",3044.6,12.2011577424023,2.81620839363242,3.589001447178,5.7959479015919,24.6732214,6.550614202,2.67292912,2.511659988,19698,154.563915118286,4.00747478893855,23.0814849958487,29.4152532321196,47.5032617720318,5.827807143,0,0
"4","Jinzhou",2949.6,15.5282199710564,2.86975397973951,4.04052098408104,8.61939218523878,28.0786954,6.371372389,3.266883645,4.131068619,10048,293.550955414013,5.26451721286155,18.4808946877912,26.0205032618826,55.5079217148183,5.45155,0,0
"5","Huludao",2537.9,11.6801736613603,1.92619392185239,4.37337192474674,5.38060781476122,25.9176879,6.58575988,2.088340754,3.096827472,10416,243.653993855607,4.6022986175028,16.4911411225375,37.4426960723578,46.0661628051047,5.713642857,0,0
"6","Changchun",9300,85.4428364688857,5.03762662807525,36.1128798842258,44.2923299565847,18.019916,6.021505376,3.4,2.203028664,20594,451.587841118772,9.18740177084792,5.895902847174,42.2655442827865,51.8385528700395,5.5896,0.52517,0.0565
"7","Haerbin",10763,75.9681620839363,8.24167872648336,16.3140376266281,51.4124457308249,19.9752671,8.296943231,2.267025922,2.796618043,53076,202.784686110483,7.05827019269129,10.8488589172096,21.4748352192632,67.6763058635273,5.32195,7.799835,0.72469
"8","Fuzhou",7800,135.923299565847,7.61895803183792,55.4412445730825,72.8630969609262,17.2970641,4.907307692,3.024102564,3.440897436,12255,636.474908200734,17.4260640469034,5.6053362861067,40.7886247245084,53.6060389893849,4.575007143,9.966425,1.277747
"9","Xiamen",4290,86.7589001447178,0.383357452966715,36.0924746743849,50.2830680173661,12.06562,4.378554779,3.274592075,3.8,1701,2522.04585537919,20.2235198472536,0.441865275294243,41.6008900691238,57.9572446555819,4.836185714,8.126445,1.894276
"10","Nanning",7344.8,65.2179450072359,7.3410998552822,15.1225759768452,42.7542691751085,17.2755174,7.364257706,2.797217079,4.074991831,22244,330.192411436792,8.87947187224103,11.2562575445573,23.1877529645672,65.5559894908755,5.038414286,9.419795,1.282512
"11","Haikou",2327.9,24.1958031837916,1.0301013024602,3.99421128798842,19.171490593343,12.4180528,8.192362215,4.124318055,5.897590103,2289,1016.99432066405,10.3938327178107,4.25735527205086,16.5078681523748,79.2347765755743,5.184114286,5.69084,2.444624
"12","Guiyang",4971.4,58.4602026049204,2.33487698986975,21.659479015919,34.4658465991317,13.8250477,6.964637728,3.978959649,5.272156737,8043,618.102697998259,11.7593037383675,3.9939597979998,37.0499554411328,58.9560847608674,4.579314286,4.772415,0.959974
"13","Kunming",6950,93.717510853835,3.91157742402316,30.0832127351664,59.7227206946454,15.8084892,9.223021583,4.575539568,6.014388489,21013,330.747632418027,13.4845339358036,4.17379568491078,32.0998844944625,63.7263198206267,4.556507143,11.32589,1.629624
"14","Lasa",720.9615385,8.94182344428365,0.290882778581766,3.41736613603473,5.23357452966715,7.4837567,5.2,3.852242744,5.791418016,29654,24.3124549301949,12.4026358783127,3.25305884637794,38.2177769146112,58.5291642390108,3.495085714,0,0
"15","Lanzhou",3790.9,41.0616497829233,0.747901591895803,13.6813314037627,26.6324167872648,19.5439131,8.282993484,3.79857026,5.091139307,13192,287.36355366889,10.831636229635,1.82141145289988,33.319000761271,64.8595877858291,4.404042857,3.076535,0.811558
"16","Xining",2387.1,42.9225759768452,4.36903039073806,16.7836468885673,21.7698986975398,17.8,9.594905953,4.120480918,5.379330568,7607,313.803076114105,17.9810548267124,10.1788634333013,39.1021426524385,50.7189939142602,4.868814286,0,0
"17","Yinchuan",2293.085,27.5178002894356,0.974095513748191,12.5518089725036,13.9918958031838,13.0092861,7.689716312,4.292553191,5.175088652,9025,254.081440443213,12.0003402793336,3.5398742032522,45.6134169173486,50.8467088793992,5.473557143,0,0
"18","Wulumuqi",3505.8,44.8591895803184,0.366425470332851,13.7218523878437,30.7709117221418,16.3925747,9.127731188,4.335672314,5.020252154,13788,254.264577893821,12.7957069942148,0.816834797420454,30.5887210986622,68.5944441039174,4.141242857,2.78289,0.793796
"19","Beijing",21536,511.885672937771,1.64544138929088,82.7076700434153,427.532561505065,17.2,5.850668648,4.643387816,5.664933135,16406,1312.69047909301,23.7688369677643,0.321447048878611,16.1574496837832,83.5211032673382,5.341992857,42.94048,1.993893
"20","Shanghai",24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,22.7406738480463,0.272255612061437,26.9927234262483,72.7350209616903,5.468578571,33.045055,1.36092
"21","Chongqing",31243.2,341.617510853835,22.4518089725036,137.436179450072,181.729522431259,20.6,7.422415118,2.624571107,3.303118759,82402,379.1558457319,10.9341396161032,6.57220671047799,40.2310113163011,53.196781973221,5.380857143,63.206345,2.023043
"22","Tianjin",15618.3,204.114037626628,2.68060781476122,71.9128798842258,129.520549927641,20.5291299,4.373075175,2.951665674,2.650736636,11760,1328.08673469388,13.0689023534333,1.31328929941833,35.2317168972822,63.4549938032994,5.324178571,7.373635,0.472115
