"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"17",17,17,17,"2020-02-07",72.6666666666667,72.6666666666667,5.33333333333333,0.933333333333334,13.6666666666667,65,79.3333333333333,959,5.96666666666667,0.666666666666667,1.7921,1.73472347597681e-18,0,0,0,"Sanmenxia",16
"18",18,18,18,"2020-02-08",71.6666666666667,65,5.33333333333333,0.966666666666667,16.3333333333333,63.6666666666667,92.6666666666667,961,3.33333333333333,-0.833333333333333,1.83926666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",17
"19",19,19,19,"2020-02-09",81.6666666666667,76.3333333333333,7,1.1,21,76.6666666666667,88.6666666666667,962.333333333333,1.4,0.833333333333333,1.97606666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",18
"20",20,20,20,"2020-02-10",77.6666666666667,78,8,1.16666666666667,25.6666666666667,84,69,960.666666666667,1.96666666666667,3.5,2.10556666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",19
"21",21,21,21,"2020-02-11",62,68.6666666666667,10,1.06666666666667,27,91.3333333333333,50,956.333333333333,2.46666666666667,6,2.23886666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",20
"22",22,22,22,"2020-02-12",57,64,11.3333333333333,1,24,95.3333333333333,41.3333333333333,951.333333333333,2.46666666666667,7.66666666666667,2.3776,1.73472347597681e-18,0,0,0,"Sanmenxia",21
"23",23,23,23,"2020-02-13",63.3333333333333,66.3333333333333,11.6666666666667,0.966666666666667,18.6666666666667,104,52,948,2.46666666666667,9.5,2.4387,1.73472347597681e-18,0,0,0,"Sanmenxia",22
"24",24,24,24,"2020-02-14",58,95.6666666666667,10,0.800000000000001,13.3333333333333,99.3333333333333,64.6666666666667,945.666666666667,3.03333333333333,10.8333333333333,2.43323333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",23
"25",25,25,25,"2020-02-15",39,84.3333333333333,7.66666666666667,0.633333333333334,11.3333333333333,90.3333333333333,55.6666666666667,950.333333333333,4.96666666666667,8.16666666666667,2.29553333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",24
"26",26,26,26,"2020-02-16",17.6666666666667,69.6666666666667,5.66666666666667,0.466666666666667,11.6666666666667,85.3333333333333,43.3333333333333,957,4.96666666666667,3.83333333333333,2.17023333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",25
"27",27,27,27,"2020-02-17",16.3333333333333,33.6666666666667,5.66666666666667,0.533333333333334,18,91,26,964,3.9,0,2.25313333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",26
"28",28,28,28,"2020-02-18",23.6666666666667,36,7,0.633333333333334,25,95,27,963.666666666667,2.46666666666667,0.833333333333333,2.46613333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",27
"29",29,29,29,"2020-02-19",33.6666666666667,43.6666666666667,9,0.733333333333334,31.3333333333333,102,28.3333333333333,960.333333333333,1.9,3.66666666666667,2.6484,1.73472347597681e-18,0,0,0,"Sanmenxia",28
"30",30,30,30,"2020-02-20",46,59,10,0.766666666666667,28.3333333333333,98.3333333333333,34.6666666666667,957.666666666667,2.4,6.33333333333333,2.6845,1.73472347597681e-18,0,0,0,"Sanmenxia",29
"31",31,31,31,"2020-02-21",49.6666666666667,88.3333333333333,8.66666666666667,0.733333333333334,25.3333333333333,97.3333333333333,56,958.333333333333,3.83333333333333,6.83333333333333,2.8294,1.73472347597681e-18,0,0,0,"Sanmenxia",30
"32",32,32,32,"2020-02-22",50,112.666666666667,7.66666666666667,0.666666666666667,22.3333333333333,93,58,960.666666666667,3.83333333333333,6.66666666666667,3.02846666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",31
"33",33,33,33,"2020-02-23",47,118.666666666667,8,0.633333333333334,22,101.666666666667,57.3333333333333,961.666666666667,5.26666666666667,6.66666666666667,3.27163333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",32
"34",34,34,34,"2020-02-24",60.3333333333333,113,10.3333333333333,0.733333333333334,25.6666666666667,106,44,956.333333333333,5.26666666666667,9.33333333333333,3.48043333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",33
