"","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City"
"1",1,"2020-01-22",150,158,11,1.5,42,47,78,954,4.1,0.5,5.6072,0,0,0,0,"Sanmenxia"
"313",313,"2020-01-22",115,156,40,1.7,56,61,68,968,0.9,2.5,5.5883,0,0,0,0,"Linfen"
"391",391,"2020-01-22",58,88,10,1.1,26,70,80,1009,2.4,4,5.4869,0,0,0,0,"Linyi"
"469",469,"2020-01-22",43,59,5,1,19,71,80,1014,0.9,13.5,4.7053,0,0,0,0,"Lishui"
"625",625,"2020-01-22",113,123,7,1,33,64,75,969,0.9,9.5,5.5638,0,0,0,0,"Leshan"
"703",703,"2020-01-22",51,52,7,0.6,20,58,94,1014,2.4,7,6.3027,0,0,0,0,"Jiujiang"
"781",781,"2020-01-22",152,210,4,1.6,32,58,89,1019,0.9,2.5,8.7434,0,0,0,0,"Bozhou"
"937",937,"2020-01-22",91,131,20,1.4,60,53,65,1022,0.9,-1.5,4.9912,0,0,0,0,"Baoding"
"1015",1015,"2020-01-22",179,241,5,1.6,35,47,81,1009,0.9,4,7.267,0,0,0,0,"Xinyang"
"1093",1093,"2020-01-22",113,154,3,1.4,24,50,96,1013,0.9,4,7.1285,0,0,0,0,"Liuan"
"1249",1249,"2020-01-22",82,96,7,1.2,27,81,81,977,0.9,10,6.3815,0,0,0,0,"Neijiang"
"1561",1561,"2020-01-22",75,95,7,1,30,68,87,977,0.9,10,7.5519,0,0,0,0,"Nanchong"
"1795",1795,"2020-01-22",83,74,5,1,28,43,97,1022,2.4,10,5.2445,0,0,0,0,"Nantong"
"1873",1873,"2020-01-22",156,188,9,1.4,35,73,83,1001,2.4,1.5,6.5124,0,0,0,0,"Nanyang"
"2029",2029,"2020-01-22",57,80,5,0.9,24,90,75,1022,0.1,11,4.1643,0,0,0,0,"Taizhou"
"2185",2185,"2020-01-22",76,130,32,1.1,49,64,71,911,2.4,0,5.2739,0,0,0,0,"Lvliang"
"2263",2263,"2020-01-22",184,199,6,1.8,32,49,80,1018,0.9,2.5,7.901,0,0,0,0,"Zhoukou"
"2419",2419,"2020-01-22",64,63,6,1.3,23,43,99,1010,2.4,5.5,6.4061,0,0,0,0,"Xianning"
